Region,Area,Province,Location
east_china_region,fujian_area,funing_province,ningde
east_china_region,fujian_area,funing_province,fuan
east_china_region,fujian_area,funing_province,changshi
east_china_region,fujian_area,fuzhou_province,minxian
east_china_region,fujian_area,fuzhou_province,lianjiang
east_china_region,fujian_area,fuzhou_province,luoyuan
east_china_region,fujian_area,fuzhou_province,houguan
east_china_region,fujian_area,fuzhou_province,minqing
east_china_region,fujian_area,fuzhou_province,changle_fujian
east_china_region,fujian_area,fuzhou_province,gutian
east_china_region,fujian_area,fuzhou_province,yongfu_fuzhou
east_china_region,fujian_area,jianning_province,ouning
east_china_region,fujian_area,jianning_province,jianan
east_china_region,fujian_area,jianning_province,pucheng_jianning
east_china_region,fujian_area,jianning_province,songxi
east_china_region,fujian_area,jianning_province,jianyang
east_china_region,fujian_area,jianning_province,chongan
east_china_region,fujian_area,jianning_province,zhenghe
east_china_region,fujian_area,jianning_province,wuyishan2
east_china_region,fujian_area,quanzhou_province,jinjiang
east_china_region,fujian_area,quanzhou_province,tongan
east_china_region,fujian_area,quanzhou_province,anxi
east_china_region,fujian_area,quanzhou_province,dehua
east_china_region,fujian_area,quanzhou_province,huian
east_china_region,fujian_area,quanzhou_province,yongchun
east_china_region,fujian_area,quanzhou_province,nanan_quanzhou
east_china_region,fujian_area,shaowu_province,shaowu
east_china_region,fujian_area,shaowu_province,guangze
east_china_region,fujian_area,shaowu_province,taining
east_china_region,fujian_area,shaowu_province,jianning
east_china_region,fujian_area,tingzhou_province,changting
east_china_region,fujian_area,tingzhou_province,ninghua_tingzhou
east_china_region,fujian_area,tingzhou_province,liancheng
east_china_region,fujian_area,tingzhou_province,shanghang
east_china_region,fujian_area,tingzhou_province,qingliu
east_china_region,fujian_area,tingzhou_province,wuping
east_china_region,fujian_area,tingzhou_province,mingxi
east_china_region,fujian_area,tingzhou_province,yongding_shanghang
east_china_region,fujian_area,xinghua_province,putian
east_china_region,fujian_area,xinghua_province,fuqing
east_china_region,fujian_area,xinghua_province,xianyou
east_china_region,fujian_area,yanping_province,nanping
east_china_region,fujian_area,yanping_province,datian
east_china_region,fujian_area,yanping_province,shaxian
east_china_region,fujian_area,yanping_province,jiangle
east_china_region,fujian_area,yanping_province,shunchang
east_china_region,fujian_area,yanping_province,yongan_sha
east_china_region,fujian_area,yanping_province,youxi
east_china_region,fujian_area,zhangzhou_province,longxi
east_china_region,fujian_area,zhangzhou_province,zhaoan
east_china_region,fujian_area,zhangzhou_province,huafeng
east_china_region,fujian_area,zhangzhou_province,longyan
east_china_region,fujian_area,zhangzhou_province,pinghe
east_china_region,fujian_area,zhangzhou_province,nansheng
east_china_region,fujian_area,zhangzhou_province,zhangpu
east_china_region,fujian_area,zhangzhou_province,changtai
east_china_region,fujian_area,zhangzhou_province,zhangping
east_china_region,huaidong_area,gaoyou_province,gaoyou
east_china_region,huaidong_area,gaoyou_province,xinghua
east_china_region,huaidong_area,gaoyou_province,baoying
east_china_region,huaidong_area,gaoyou_province,baima_lake
east_china_region,huaidong_area,gaoyou_province,gaoyou_lake
east_china_region,huaidong_area,haizhou_province,qushan
east_china_region,huaidong_area,haizhou_province,banpu
east_china_region,huaidong_area,haizhou_province,gaoqiao
east_china_region,huaidong_area,haizhou_province,ganyu
east_china_region,huaidong_area,haizhou_province,shuyang
east_china_region,huaidong_area,huaian_province,shanyang_huaian
east_china_region,huaidong_area,huaian_province,andong_huaian
east_china_region,huaidong_area,huaian_province,qinghe_huaian
east_china_region,huaidong_area,huaian_province,yancheng
east_china_region,huaidong_area,huaian_province,funing_huaian
east_china_region,huaidong_area,huaian_province,taoyuan_huaian
east_china_region,huaidong_area,huaian_province,hongze_lake
east_china_region,huaidong_area,pizhou_province,xiapi
east_china_region,huaidong_area,pizhou_province,suining_pizhou
east_china_region,huaidong_area,pizhou_province,suqian
east_china_region,huaidong_area,pizhou_province,xinyi
east_china_region,huaidong_area,pizhou_province,luoma_lake
east_china_region,huaidong_area,taizhou_nanzhili_province,hailing
east_china_region,huaidong_area,taizhou_nanzhili_province,xixi
east_china_region,huaidong_area,taizhou_nanzhili_province,rugao
east_china_region,huaidong_area,tongzhou_province,jinghai_tongzhou
east_china_region,huaidong_area,tongzhou_province,juegang
east_china_region,huaidong_area,tongzhou_province,haimen
east_china_region,huaidong_area,xuzhou_province,xuzhou
east_china_region,huaidong_area,xuzhou_province,dangshan
east_china_region,huaidong_area,xuzhou_province,fengxian
east_china_region,huaidong_area,xuzhou_province,xiaoxian
east_china_region,huaidong_area,xuzhou_province,peixian
east_china_region,huaidong_area,yangzhou_province,jiangdu
east_china_region,huaidong_area,yangzhou_province,taixing
east_china_region,huaidong_area,yangzhou_province,yangzi
east_china_region,huaixi_area,anqing_province,huaining
east_china_region,huaixi_area,anqing_province,qianshan
east_china_region,huaixi_area,anqing_province,susong
east_china_region,huaixi_area,anqing_province,taihu
east_china_region,huaixi_area,anqing_province,tongcheng_anqing
east_china_region,huaixi_area,anqing_province,wangjiang
east_china_region,huaixi_area,anqing_province,zongyang
east_china_region,huaixi_area,anqing_province,longgan_lake
east_china_region,huaixi_area,bozhou_nanzhili_province,qiaoxian
east_china_region,huaixi_area,bozhou_nanzhili_province,chengfu
east_china_region,huaixi_area,bozhou_nanzhili_province,mengcheng
east_china_region,huaixi_area,chuzhou_province,qingliu_chuzhou
east_china_region,huaixi_area,chuzhou_province,zhaoxin
east_china_region,huaixi_area,chuzhou_province,quanjiao
east_china_region,huaixi_area,chuzhou_province,laian
east_china_region,huaixi_area,fengyang_province,zhongli
east_china_region,huaixi_area,fengyang_province,dingyuan_fengyang
east_china_region,huaixi_area,fengyang_province,huaiyuan
east_china_region,huaixi_area,he_province,hezhou_he
east_china_region,huaixi_area,he_province,hanshan
east_china_region,huaixi_area,he_province,wuwei
east_china_region,huaixi_area,luan_nanzhili_province,luan
east_china_region,huaixi_area,luan_nanzhili_province,huoqiu
east_china_region,huaixi_area,luan_nanzhili_province,huoshan
east_china_region,huaixi_area,luan_nanzhili_province,mabu
east_china_region,huaixi_area,luan_nanzhili_province,shucheng
east_china_region,huaixi_area,luan_nanzhili_province,yuexi
east_china_region,huaixi_area,luan_nanzhili_province,yingshan_luan
east_china_region,huaixi_area,luzhou_province,hefei
east_china_region,huaixi_area,luzhou_province,chaoxian
east_china_region,huaixi_area,luzhou_province,liangxian
east_china_region,huaixi_area,luzhou_province,lujiang_luzhou
east_china_region,huaixi_area,luzhou_province,chao_lake
east_china_region,huaixi_area,shouzhou_province,shouchun
east_china_region,huaixi_area,shouzhou_province,shuihu
east_china_region,huaixi_area,shouzhou_province,xiacai
east_china_region,huaixi_area,sizhou_province,hongxian
east_china_region,huaixi_area,sizhou_province,linhuai
east_china_region,huaixi_area,sizhou_province,tianchang
east_china_region,huaixi_area,sizhou_province,wuhe
east_china_region,huaixi_area,sizhou_province,xuyi
east_china_region,huaixi_area,suzhou_north_province,suzhou_fengyang
east_china_region,huaixi_area,suzhou_north_province,guzhen
east_china_region,huaixi_area,suzhou_north_province,lingbi
east_china_region,huaixi_area,suzhou_north_province,linhuan
east_china_region,huaixi_area,yingzhou_province,yingzhou
east_china_region,huaixi_area,yingzhou_province,yingshui
east_china_region,huaixi_area,yingzhou_province,yingshang
east_china_region,huaixi_area,yingzhou_province,shenqiu
east_china_region,huaixi_area,yingzhou_province,taihe
east_china_region,hubei_area,anlu_province,zhongxiang
east_china_region,hubei_area,anlu_province,fengle
east_china_region,hubei_area,anlu_province,shipai
east_china_region,hubei_area,anlu_province,fushui
east_china_region,hubei_area,anlu_province,jingshan
east_china_region,hubei_area,dean_province,anlu
east_china_region,hubei_area,dean_province,xiaogan
east_china_region,hubei_area,dean_province,yingcheng
east_china_region,hubei_area,dean_province,yunmeng
east_china_region,hubei_area,fangzhou_province,fangling
east_china_region,hubei_area,fangzhou_province,banqiao
east_china_region,hubei_area,fangzhou_province,baokang
east_china_region,hubei_area,fangzhou_province,baihekou
east_china_region,hubei_area,fangzhou_province,bomoping
east_china_region,hubei_area,fangzhou_province,zhushan
east_china_region,hubei_area,fangzhou_province,zhuxi
east_china_region,hubei_area,fangzhou_province,fengxi
east_china_region,hubei_area,guizhou_huguang_province,zigui
east_china_region,hubei_area,guizhou_huguang_province,xingshan
east_china_region,hubei_area,guizhou_huguang_province,xinhua_guizhou
east_china_region,hubei_area,guizhou_huguang_province,badong
east_china_region,hubei_area,guizhou_huguang_province,jingshan_mountains
east_china_region,hubei_area,hanyang_province,hanyang
east_china_region,hubei_area,hanyang_province,hanchuan
east_china_region,hubei_area,huangzhou_province,huanggang
east_china_region,hubei_area,huangzhou_province,qichun
east_china_region,hubei_area,huangzhou_province,luotian
east_china_region,hubei_area,huangzhou_province,huangan
east_china_region,hubei_area,huangzhou_province,huangpi
east_china_region,hubei_area,huangzhou_province,huangmei
east_china_region,hubei_area,huangzhou_province,macheng
east_china_region,hubei_area,huangzhou_province,qishui
east_china_region,hubei_area,huangzhou_province,guangji
east_china_region,hubei_area,jingmen_province,changlin
east_china_region,hubei_area,jingmen_province,dangyang
east_china_region,hubei_area,jingmen_province,shayang
