Location,Primary_Culture,All_Cultures,Primary_Religion,All_Religions,Pop_Types
adeqiu,khampa_culture,khampa_culture,bon,bon;tibetan_buddhism,slaves;clergy
aerzhai,tumed_culture,tumed_culture;mi_niah_culture,mahayana,mahayana;tengri,tribesmen;peasants;clergy
amchok,amdowa_culture,amdowa_culture,bon,bon;tibetan_buddhism,tribesmen;peasants;clergy
ami,yi_culture,yi_culture;hui_muslim_culture;bai_culture;hani_culture,sunni,sunni;bimoism;hani_religion,tribesmen;slaves;clergy
amis,formosan_culture,formosan_culture,formosan_religion,formosan_religion,tribesmen
anbian,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
ande,jilu_culture,jilu_culture;hui_muslim_culture,sunni,sunni;sanjiao,peasants;clergy
anding,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
anding_mashan,yao_china_culture,yao_china_culture;mongolian_culture;zhuang_culture,yao_religion,yao_religion;moism,tribesmen;clergy
anding_suzhou,liang_culture,liang_culture,sanjiao,sanjiao,peasants;clergy
andong_huaian,jianghuai_culture,jianghuai_culture,sanjiao,sanjiao,peasants;clergy
anfu_jian,gan_culture,gan_culture,sanjiao,sanjiao,peasants;clergy
anfu_li,changde_culture,changde_culture,sanjiao,sanjiao,peasants;clergy
anhua,qin_culture,qin_culture,sanjiao,sanjiao,peasants;clergy
anhua_anhua,xinxiang_culture,xinxiang_culture,sanjiao,sanjiao,peasants;clergy
anhua_huanjiang,maonan_culture,maonan_culture;zhuang_culture,moism,moism;satsana_phi,tribesmen;clergy
anji,wu_culture,wu_culture;mongolian_culture,tibetan_buddhism,tibetan_buddhism;sanjiao,peasants;clergy
anlong,mongolian_culture,mongolian_culture;hmong_culture;zhuang_culture,hmongism,hmongism;moism,tribesmen;clergy
anlu,chu_culture,chu_culture;jianghuai_culture,sanjiao,sanjiao,peasants;clergy
annan,mongolian_culture,mongolian_culture;hmong_culture;zhuang_culture,hmongism,hmongism;moism,tribesmen;clergy
anning,yi_culture,yi_culture,bimoism,bimoism,tribesmen;clergy
anping,jilu_culture,jilu_culture,sanjiao,sanjiao,peasants;clergy
anqiu,jilu_culture,jilu_culture;jiaodong_culture,sanjiao,sanjiao,peasants;clergy
anren,yongzhou_culture,yongzhou_culture;gan_culture,sanjiao,sanjiao,peasants;clergy
anren_raozhou,gan_culture,gan_culture,sanjiao,sanjiao,peasants;clergy
ansai,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
ansu,jilu_culture,jilu_culture,sanjiao,sanjiao,peasants;clergy
anxi,minnan_culture,minnan_culture,manichaeism,manichaeism;sanjiao,peasants;clergy
anxi_dingzhou,jilu_culture,jilu_culture,sanjiao,sanjiao,peasants;clergy
anxiang,changde_culture,changde_culture,sanjiao,sanjiao,peasants;clergy
anyang,jin_culture,jin_culture,sanjiao,sanjiao,burghers;nobles;peasants;clergy
anyi,gan_culture,gan_culture,sanjiao,sanjiao,peasants;clergy
anyuan,amdowa_culture,amdowa_culture;liang_culture;mongolian_culture;mi_niah_culture,tibetan_buddhism,tibetan_buddhism;mahayana;sanjiao,peasants;clergy
anyuan_dingnan,kejia_culture,kejia_culture,sanjiao,sanjiao,peasants;clergy
anyuan_lianzhou,malao_culture,malao_culture;zhuang_culture,moism,moism;sanjiao,tribesmen;peasants;clergy
anyue,shu_culture,shu_culture,sanjiao,sanjiao,peasants;clergy
anzhou,shu_culture,shu_culture,sanjiao,sanjiao,peasants;clergy
arikun,formosan_culture,formosan_culture,formosan_religion,formosan_religion,tribesmen
babuza,formosan_culture,formosan_culture,formosan_religion,formosan_religion,tribesmen
bada,yao_china_culture,yao_china_culture;mongolian_culture;zhuang_culture,yao_religion,yao_religion;moism,tribesmen;clergy
badong,mongolian_culture,mongolian_culture;tujia_culture;chu_culture;hmong_culture,hmongism,hmongism;sanjiao;tengri;nuo_religion,tribesmen;peasants;clergy
bafan,mongolian_culture,mongolian_culture;hmong_culture;zhuang_culture,hmongism,hmongism;moism,tribesmen;clergy
baicang,laoxiang_culture,laoxiang_culture,sanjiao,sanjiao,peasants;clergy
baideng,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
baihekou,chu_culture,chu_culture,sanjiao,sanjiao,peasants;clergy
baima,laoxiang_culture,laoxiang_culture,sanjiao,sanjiao,peasants;clergy
baima_daming,zhongyuan_culture,zhongyuan_culture,sanjiao,sanjiao,peasants;clergy
baimachen,qin_culture,qin_culture;mongolian_culture;mi_niah_culture,tibetan_buddhism,tibetan_buddhism;mahayana;sanjiao,peasants;clergy
baimaguan,qin_culture,qin_culture,sanjiao,sanjiao,peasants;clergy
baini,hmong_culture,hmong_culture,hmongism,hmongism,tribesmen;clergy
baise,zhuang_culture,zhuang_culture,moism,moism,tribesmen;clergy
baishan,yao_china_culture,yao_china_culture;zhuang_culture,yao_religion,yao_religion;moism,tribesmen;clergy
baishui,qin_culture,qin_culture,sanjiao,sanjiao,peasants;clergy
baitan,kharchin_culture,kharchin_culture;yan_culture;jurchen_culture,sanjiao,sanjiao;tungusic_shamanism;tengri,tribesmen;peasants;clergy
baiting,liang_culture,liang_culture;mongolian_culture;mi_niah_culture,tibetan_buddhism,tibetan_buddhism;mahayana;sanjiao,peasants;clergy
baling,xinxiang_culture,xinxiang_culture;gan_culture,sanjiao,sanjiao,peasants;clergy
bama,yao_china_culture,yao_china_culture;mongolian_culture;zhuang_culture,yao_religion,yao_religion;moism,tribesmen;clergy
banan,shu_culture,shu_culture,sanjiao,sanjiao,peasants;clergy
banbishan,yan_culture,yan_culture,sanjiao,sanjiao,peasants;clergy
bangban,bai_culture,bai_culture;zhuang_culture,moism,moism,tribesmen;clergy
banpu,jianghuai_culture,jianghuai_culture,sanjiao,sanjiao,peasants;clergy
banqiao,chu_culture,chu_culture,sanjiao,sanjiao,peasants;clergy
baoan,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
baoan_baoan,jin_culture,jin_culture,sanjiao,sanjiao,peasants;clergy
