##REPLACE:integrate_area_advance = {
##	icon = expansionism
##	age = age_1_traditions
	
##	unlock_cabinet_action = integrate_area
##}

##REPLACE:send_people_to_colonial_charter_advance = {
	
##	age = age_1_traditions
##	requires = native_policy_advance
	
##	unlock_cabinet_action = send_people_to_colonial_charter
##	ai_preference_tags = {
##		exploration
##	}
##}

##REPLACE:send_people_to_the_colonies_advance = {
##	icon = colonies
##	age = age_1_traditions
##	requires = native_policy_advance
	
##	unlock_cabinet_action = send_people_to_the_colonies
##	ai_preference_tags = {
##		exploration
##	}
##}


##REPLACE:study_institutions_advance = {
	
##	age = age_1_traditions
##	requires = printing_press_advance
	
##	unlock_cabinet_action = study_institutions
##}


##REPLACE:reduce_inflations_advance = {
	
##	age = age_1_traditions
##	requires = imperial_ambitions
	
##	unlock_cabinet_action = reduce_inflation
##}


##REPLACE:pop_promote_actions_advance = {
	
##	age = age_1_traditions
##	requires = pop_promotion_speed_age_2
	
##	unlock_cabinet_action = pop_promote_action
##}

##REPLACE:alleviate_concerns_advance = {
	
##	age = age_1_traditions
	
##	unlock_cabinet_action = alleviate_concerns
##}


##REPLACE:nation_state_advance = {	
##	age = age_1_traditions
##	icon = cultures_capacity_mil_choice
##	unlock_cabinet_action = merge_culture_group
##}

##REPLACE:counter_espionage_action_advance = {
	
##	age = age_1_traditions
##	requires = power_projection_advance_3
	
##	unlock_cabinet_action = counter_espionage_action
##}


##REPLACE:pacify_population_advance = {
	
##	age = age_1_traditions
	
##	unlock_cabinet_action = pacify_population
##}

##REPLACE:settle_the_frontier_advance = {
##	icon = expansionism
##	age = age_1_traditions
##	requires = city_building_advance
##	unlock_cabinet_action = settle_the_frontier
##}
